Voltage (v),,Current (A * 10^-14),
-2,0.1,-21.5,1.075
-1.8,0.09,-21,1.05
-1.6,0.08,-20.5,1.025
-1.4,0.07,-19.5,0.975
-1.3,0.065,-16.5,0.825
-1.2,0.06,-9.5,0.475
-1.175,0.05875,-6,0.3
-1.15,0.0575,-1.5,0.075
-1.125,0.05625,2,0.1
-1.1,0.055,10,0.5
-1.075,0.05375,17,0.85
-1.05,0.0525,25,1.25
-1.025,0.05125,34.5,1.725
-1,0.05,45.5,2.275
-0.95,0.0475,70.5,3.525
-0.9,0.045,100,5
-0.85,0.0425,165,8.25
-0.8,0.04,200,10
-0.7,0.035,280,14
-0.5,0.025,500,25
0,0,1550,77.5
